Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: August 28, 2025 - Next Release Date September 25, 2025"
26,Less: Personal current taxes,2834.2,2828.4,2866.0,2894.3,2965.6,3005.4,3054.2,3117.6,3192.3,3244.3
27,Equals: Disposable personal income,20147.0,20460.4,20666.4,20913.5,21378.6,21568.6,21662.6,21924.6,22257.7,22532.3
28,Less: Personal outlays,19196.3,19427.3,19723.5,19971.3,20230.5,20507.5,20773.6,21090.2,21294.4,21486.5
29,"    Personal consumption expenditures",18506.2,18685.7,18929.0,19170.2,19424.8,19682.7,19938.4,20255.5,20461.6,20643.9
30,"    Personal interest payments4",430.4,480.4,529.5,532.2,534.4,551.7,560.5,558.2,561.3,559.8
31,"    Personal current transfer payments",259.7,261.2,265.0,268.9,271.4,273.1,274.7,276.5,271.4,282.7
32,"        To government",134.3,135.1,136.0,136.9,137.9,139.0,140.3,141.7,143.2,144.7
33,"        To the rest of the world (net)",125.4,126.1,129.0,132.0,133.5,134.1,134.4,134.8,128.2,138.0
34,Equals: Personal saving,950.7,1033.1,942.9,942.2,1148.1,1061.1,889.0,834.5,963.4,1045.8
35,"    Personal saving as a percentage of disposable personal income",4.7,5.0,4.6,4.5,5.4,4.9,4.1,3.8,4.3,4.6
,Addenda:,,,,,,,,,,
36,"    Personal income excluding current transfer receipts, billions of chained (2017) dollars5",15702.4,15816.0,15923.6,16078.6,16243.2,16274.7,16281.1,16401.9,16460.5,16520.8
,"    Disposable personal income:",,,,,,,,,,
37,"        Total, billions of chained (2017) dollars5",16885.3,17025.2,17082.8,17216.5,17451.8,17497.2,17506.4,17614.2,17721.9,17851.5
,"        Per capita:",,,,,,,,,,
38,"            Current dollars",59958,60770,61234,61808,63041,63450,63594,64264,65159,65877
39,"            Chained (2017) dollars",50251,50567,50616,50882,51462,51473,51393,51630,51881,52192
40,"    Population (midperiod, thousands)6",336018,336685,337500,338360,339119,339929,340637,341164,341590,342034
,"    Percent change from preceding period:",,,,,,,,,,
41,"        Disposable personal income, current dollars",15.3,6.4,4.1,4.9,9.2,3.6,1.8,4.9,6.2,5.0
42,"        Personal outlays, current dollars",9.3,4.9,6.2,5.1,5.3,5.6,5.3,6.2,3.9,3.7
43,"        Disposable personal income, chained (2017) dollars",10.9,3.4,1.4,3.2,5.6,1.0,0.2,2.5,2.5,3.0

Legend/Footnotes
1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period.
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.
4. Consists of nonmortgage interest paid by households.  Note that mortgage interest paid by households is an expense item in the calculation of rental income of persons.
5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.
"6. Population is the total population of the United States, including the Armed Forces overseas and the institutionalized population. The monthly estimate is the average of estimates for the first of the month and the first of the following month; the annual and quarterly estimates are averages of the monthly estimates."
